simulation,time,__s0,__s1,__s2,__s3,__s4,__s5,__s6,__s7,__s8,__s9,__s10,__s11,__s12,__s13,__s14,__s15,__s16,__s17,__s18,__s19,__s20,__s21,__s22,__s23,__s24,__s25,__s26,__s27,__s28,__s29,__s30,__s31,__s32,__s33,__s34,__s35,__s36,__s37,__s38,__s39,__s40,__s41,__s42,__s43,__s44,__s45,__s46,__s47,__s48,__s49,__s50,__s51,__s52,__s53,__s54,__s55,__s56,__s57,Bid_unbound,PARP_unbound,mSmac_unbound,tBid_total,CPARP_total,cSmac_total
0,0.0,3000.0,688.0,158.0,33379.0,1454.0,16966.0,15000.0,162162.0,1017382.0,136521.0,5000.0,667948.0,47434.0,500000.0,572172.0,329118.0,140909.0,61137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136521.0,1017382.0,329118.0,0.0,0.0,0.0
0,200.0,2881.0,569.0,158.0,33379.0,1454.0,16966.0,15000.0,162162.0,1017382.0,136521.0,5000.0,667948.0,47434.0,500000.0,572172.0,329118.0,140909.0,61137.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136521.0,1017382.0,329118.0,0.0,0.0,0.0
0,400.0,2787.0,475.0,158.0,33379.0,1454.0,16966.0,15000.0,162162.0,1017382.0,136521.0,5000.0,667948.0,47434.0,500000.0,572172.0,329118.0,140909.0,61137.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136521.0,1017382.0,329118.0,0.0,0.0,0.0
0,600.0,2740.0,428.0,158.0,33378.0,1454.0,16966.0,15000.0,162162.0,1017382.0,136521.0,5000.0,667948.0,47434.0,500000.0,572172.0,329118.0,140909.0,61137.0,259.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136521.0,1017382.0,329118.0,0.0,0.0,0.0
0,800.0,2725.0,413.0,158.0,33369.0,1452.0,16964.0,15000.0,162162.0,1017377.0,136513.0,4998.0,667906.0,47412.0,500000.0,572172.0,329118.0,140909.0,61137.0,274.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,20.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136513.0,1017377.0,329118.0,8.0,4.0,0.0
0,1000.0,2704.0,392.0,158.0,33361.0,1453.0,16960.0,15000.0,162162.0,1017364.0,136483.0,4986.0,667698.0,47297.0,500000.0,572172.0,329118.0,140909.0,61137.0,294.0,1.0,0.0,1.0,15.0,1.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,14.0,1.0,0.0,6.0,18.0,111.0,0.0,1.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136483.0,1017364.0,329118.0,37.0,18.0,0.0
0,1200.0,2683.0,371.0,158.0,33343.0,1445.0,16953.0,15000.0,162161.0,1017348.0,136423.0,4953.0,667264.0,46981.0,500000.0,572172.0,329118.0,140909.0,61137.0,315.0,2.0,0.0,0.0,26.0,9.0,0.0,1.0,0.0,46.0,0.0,1.0,0.0,47.0,4.0,0.0,12.0,34.0,222.0,0.0,5.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136423.0,1017348.0,329118.0,97.0,34.0,0.0
0,1400.0,2673.0,361.0,158.0,33329.0,1441.0,16949.0,15000.0,162162.0,1017343.0,136338.0,4912.0,666395.0,46330.0,500000.0,572172.0,329118.0,140909.0,61137.0,324.0,3.0,0.0,0.0,37.0,13.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,88.0,4.0,0.0,17.0,39.0,437.0,0.0,8.0,1104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136338.0,1017343.0,329118.0,183.0,39.0,0.0
0,1600.0,2655.0,343.0,157.0,33315.0,1439.0,16930.0,15000.0,162162.0,1017290.0,136206.0,4826.0,664884.0,45099.0,500000.0,572172.0,329118.0,140909.0,61137.0,342.0,2.0,1.0,0.0,49.0,15.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,174.0,8.0,0.0,36.0,92.0,706.0,0.0,14.0,2334.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136206.0,1017290.0,329118.0,315.0,92.0,0.0
0,1800.0,2657.0,345.0,157.0,33308.0,1430.0,16917.0,14999.0,162161.0,1017237.0,136080.0,4743.0,662807.0,43399.0,500000.0,572172.0,329118.0,140909.0,61137.0,337.0,5.0,1.0,0.0,46.0,24.0,0.0,1.0,0.0,172.0,0.0,1.0,0.0,257.0,11.0,1.0,48.0,145.0,1071.0,0.0,22.0,4033.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136080.0,1017237.0,329118.0,440.0,145.0,0.0
