simulation,time,__s0,__s1,__s2,__s3,__s4,__s5,__s6,__s7,__s8,__s9,__s10,__s11,__s12,__s13,__s14,__s15,__s16,__s17,__s18,__s19,__s20,__s21,__s22,__s23,__s24,__s25,__s26,__s27,__s28,__s29,__s30,__s31,__s32,__s33,__s34,__s35,__s36,__s37,__s38,__s39,__s40,__s41,__s42,__s43,__s44,__s45,__s46,__s47,__s48,__s49,__s50,__s51,__s52,__s53,__s54,__s55,__s56,__s57,Bid_unbound,PARP_unbound,mSmac_unbound,tBid_total,CPARP_total,cSmac_total
0,0.0,3000.0,124.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,200.0,2982.0,106.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,400.0,2960.0,84.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,600.0,2948.0,72.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,800.0,2940.0,64.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,1000.0,2934.0,58.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,1200.0,2934.0,58.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,1400.0,2935.0,59.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,1600.0,2922.0,46.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
0,1800.0,2927.0,51.0,17.0,3448.0,1525.0,33932.0,3928.0,141891.0,4436605.0,23478.0,2500.0,393333.0,33403.0,500000.0,941360.0,162452.0,113636.0,48815.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478.0,4436605.0,162452.0,0.0,0.0,0.0
