simulation,time,__s0,__s1,__s2,__s3,__s4,__s5,__s6,__s7,__s8,__s9,__s10,__s11,__s12,__s13,__s14,__s15,__s16,__s17,__s18,__s19,__s20,__s21,__s22,__s23,__s24,__s25,__s26,__s27,__s28,__s29,__s30,__s31,__s32,__s33,__s34,__s35,__s36,__s37,__s38,__s39,__s40,__s41,__s42,__s43,__s44,__s45,__s46,__s47,__s48,__s49,__s50,__s51,__s52,__s53,__s54,__s55,__s56,__s57,Bid_unbound,PARP_unbound,mSmac_unbound,tBid_total,CPARP_total,cSmac_total
0,0.0,3000.0,430.0,188.0,38344.0,3428.0,14831.0,30357.0,308108.0,1903885.0,67304.0,17499.0,130256.0,47120.0,500000.0,489243.0,163984.0,68181.0,72985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67304.0,1903885.0,163984.0,0.0,0.0,0.0
0,200.0,2905.0,335.0,188.0,38344.0,3428.0,14831.0,30357.0,308108.0,1903885.0,67304.0,17499.0,130256.0,47120.0,500000.0,489243.0,163984.0,68181.0,72985.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67304.0,1903885.0,163984.0,0.0,0.0,0.0
0,400.0,2859.0,289.0,188.0,38344.0,3428.0,14831.0,30357.0,308108.0,1903885.0,67304.0,17499.0,130256.0,47120.0,500000.0,489243.0,163984.0,68181.0,72985.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67304.0,1903885.0,163984.0,0.0,0.0,0.0
0,600.0,2817.0,247.0,188.0,38344.0,3428.0,14831.0,30357.0,308108.0,1903885.0,67304.0,17499.0,130256.0,47120.0,500000.0,489243.0,163984.0,68181.0,72985.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67304.0,1903885.0,163984.0,0.0,0.0,0.0
0,800.0,2796.0,226.0,188.0,38344.0,3428.0,14831.0,30357.0,308108.0,1903885.0,67304.0,17499.0,130256.0,47120.0,500000.0,489243.0,163984.0,68181.0,72985.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67304.0,1903885.0,163984.0,0.0,0.0,0.0
0,1000.0,2795.0,225.0,188.0,38337.0,3425.0,14829.0,30357.0,308108.0,1903883.0,67296.0,17493.0,130253.0,47119.0,500000.0,489243.0,163984.0,68181.0,72985.0,204.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67296.0,1903883.0,163984.0,8.0,2.0,0.0
0,1200.0,2782.0,212.0,188.0,38329.0,3421.0,14827.0,30357.0,308108.0,1903880.0,67288.0,17486.0,130246.0,47112.0,500000.0,489243.0,163984.0,68181.0,72985.0,217.0,1.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,5.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67288.0,1903880.0,163984.0,16.0,5.0,0.0
0,1400.0,2775.0,205.0,188.0,38319.0,3414.0,14824.0,30356.0,308108.0,1903871.0,67279.0,17476.0,130234.0,47106.0,500000.0,489243.0,163984.0,68181.0,72985.0,224.0,1.0,0.0,0.0,11.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,1.0,7.0,14.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67279.0,1903871.0,163984.0,25.0,14.0,0.0
0,1600.0,2777.0,207.0,188.0,38313.0,3410.0,14819.0,30356.0,308108.0,1903860.0,67261.0,17466.0,130214.0,47090.0,500000.0,489243.0,163984.0,68181.0,72985.0,222.0,1.0,0.0,0.0,12.0,18.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,33.0,0.0,1.0,12.0,25.0,12.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67261.0,1903860.0,163984.0,42.0,25.0,0.0
0,1800.0,2781.0,211.0,188.0,38308.0,3405.0,14815.0,30356.0,308108.0,1903854.0,67246.0,17446.0,130186.0,47069.0,500000.0,489243.0,163984.0,68181.0,72985.0,218.0,1.0,0.0,0.0,13.0,23.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,53.0,0.0,1.0,16.0,31.0,19.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67246.0,1903854.0,163984.0,58.0,31.0,0.0
