simulation,time,__s0,__s1,__s2,__s3,__s4,__s5,__s6,__s7,__s8,__s9,__s10,__s11,__s12,__s13,__s14,__s15,__s16,__s17,__s18,__s19,__s20,__s21,__s22,__s23,__s24,__s25,__s26,__s27,__s28,__s29,__s30,__s31,__s32,__s33,__s34,__s35,__s36,__s37,__s38,__s39,__s40,__s41,__s42,__s43,__s44,__s45,__s46,__s47,__s48,__s49,__s50,__s51,__s52,__s53,__s54,__s55,__s56,__s57,Bid_unbound,PARP_unbound,mSmac_unbound,tBid_total,CPARP_total,cSmac_total
0,0.0,3000.0,252.0,122.0,30344.0,870.0,21797.0,27678.0,129729.0,2054192.0,76695.0,18749.0,194358.0,79476.0,500000.0,1099236.0,313793.0,83333.0,34597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76695.0,2054192.0,313793.0,0.0,0.0,0.0
0,200.0,2949.0,201.0,122.0,30344.0,870.0,21797.0,27678.0,129729.0,2054192.0,76695.0,18749.0,194358.0,79476.0,500000.0,1099236.0,313793.0,83333.0,34597.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76695.0,2054192.0,313793.0,0.0,0.0,0.0
0,400.0,2912.0,164.0,122.0,30344.0,870.0,21797.0,27678.0,129729.0,2054192.0,76695.0,18749.0,194358.0,79476.0,500000.0,1099236.0,313793.0,83333.0,34597.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76695.0,2054192.0,313793.0,0.0,0.0,0.0
0,600.0,2890.0,142.0,122.0,30343.0,870.0,21797.0,27678.0,129729.0,2054192.0,76695.0,18749.0,194358.0,79476.0,500000.0,1099236.0,313793.0,83333.0,34597.0,109.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76695.0,2054192.0,313793.0,0.0,0.0,0.0
0,800.0,2887.0,139.0,122.0,30331.0,868.0,21793.0,27678.0,129729.0,2054174.0,76681.0,18742.0,194346.0,79472.0,500000.0,1099236.0,313793.0,83333.0,34597.0,110.0,3.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,18.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76681.0,2054174.0,313793.0,14.0,18.0,0.0
0,1000.0,2874.0,126.0,122.0,30313.0,865.0,21781.0,27676.0,129728.0,2054082.0,76655.0,18719.0,194321.0,79447.0,500000.0,1099236.0,313793.0,83333.0,34597.0,123.0,2.0,0.0,1.0,25.0,5.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,30.0,0.0,2.0,14.0,110.0,8.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76655.0,2054082.0,313793.0,40.0,110.0,0.0
0,1200.0,2871.0,123.0,122.0,30295.0,860.0,21764.0,27676.0,129729.0,2053980.0,76607.0,18685.0,194271.0,79405.0,500000.0,1099236.0,313793.0,83333.0,34597.0,126.0,3.0,0.0,0.0,38.0,10.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,64.0,0.0,2.0,32.0,212.0,15.0,0.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76607.0,2053980.0,313793.0,88.0,212.0,0.0
0,1400.0,2860.0,112.0,122.0,30282.0,853.0,21751.0,27672.0,129728.0,2053884.0,76549.0,18629.0,194194.0,79351.0,500000.0,1099236.0,313793.0,83333.0,34597.0,137.0,3.0,0.0,0.0,45.0,17.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,120.0,0.0,6.0,45.0,308.0,37.0,0.0,2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76549.0,2053884.0,313793.0,146.0,308.0,0.0
0,1600.0,2868.0,120.0,122.0,30257.0,851.0,21728.0,27669.0,129727.0,2053725.0,76460.0,18544.0,194066.0,79240.0,500000.0,1099236.0,313793.0,83333.0,34597.0,129.0,3.0,0.0,0.0,67.0,19.0,0.0,1.0,1.0,29.0,0.0,2.0,3.0,205.0,0.0,9.0,63.0,464.0,56.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76460.0,2053725.0,313793.0,234.0,464.0,0.0
0,1800.0,2871.0,123.0,122.0,30235.0,848.0,21707.0,27665.0,129727.0,2053488.0,76351.0,18449.0,193898.0,79105.0,500000.0,1099236.0,313793.0,83333.0,34597.0,125.0,4.0,0.0,0.0,87.0,22.0,0.0,0.0,0.0,44.0,0.0,2.0,1.0,300.0,0.0,13.0,87.0,703.0,89.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76351.0,2053488.0,313793.0,344.0,703.0,0.0
