simulation,time,__s0,__s1,__s2,__s3,__s4,__s5,__s6,__s7,__s8,__s9,__s10,__s11,__s12,__s13,__s14,__s15,__s16,__s17,__s18,__s19,__s20,__s21,__s22,__s23,__s24,__s25,__s26,__s27,__s28,__s29,__s30,__s31,__s32,__s33,__s34,__s35,__s36,__s37,__s38,__s39,__s40,__s41,__s42,__s43,__s44,__s45,__s46,__s47,__s48,__s49,__s50,__s51,__s52,__s53,__s54,__s55,__s56,__s57,Bid_unbound,PARP_unbound,mSmac_unbound,tBid_total,CPARP_total,cSmac_total
0,0.0,3000.0,362.0,141.0,38620.0,1214.0,44044.0,38571.0,243243.0,1200408.0,197043.0,70000.0,345897.0,18324.0,500000.0,885843.0,229118.0,148484.0,21327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197043.0,1200408.0,229118.0,0.0,0.0,0.0
0,200.0,2933.0,295.0,141.0,38620.0,1214.0,44044.0,38571.0,243243.0,1200408.0,197043.0,70000.0,345897.0,18324.0,500000.0,885843.0,229118.0,148484.0,21327.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197043.0,1200408.0,229118.0,0.0,0.0,0.0
0,400.0,2881.0,243.0,141.0,38620.0,1214.0,44044.0,38571.0,243243.0,1200408.0,197043.0,70000.0,345897.0,18324.0,500000.0,885843.0,229118.0,148484.0,21327.0,118.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197043.0,1200408.0,229118.0,0.0,0.0,0.0
0,600.0,2852.0,214.0,141.0,38616.0,1213.0,44044.0,38571.0,243243.0,1200408.0,197037.0,69994.0,345894.0,18322.0,500000.0,885843.0,229118.0,148484.0,21327.0,147.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197037.0,1200408.0,229118.0,6.0,0.0,0.0
0,800.0,2828.0,190.0,141.0,38607.0,1214.0,44036.0,38570.0,243243.0,1200394.0,197017.0,69982.0,345889.0,18317.0,500000.0,885843.0,229118.0,148484.0,21327.0,171.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,18.0,0.0,1.0,6.0,13.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197017.0,1200394.0,229118.0,25.0,13.0,0.0
0,1000.0,2812.0,174.0,141.0,38601.0,1210.0,44024.0,38570.0,243243.0,1200343.0,196961.0,69924.0,345856.0,18299.0,500000.0,885843.0,229118.0,148484.0,21327.0,187.0,1.0,0.0,0.0,14.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,76.0,0.0,1.0,20.0,65.0,16.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196961.0,1200343.0,229118.0,81.0,65.0,0.0
0,1200.0,2819.0,181.0,141.0,38590.0,1207.0,44004.0,38568.0,243243.0,1200307.0,196893.0,69854.0,345802.0,18263.0,500000.0,885843.0,229118.0,148484.0,21327.0,180.0,1.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,146.0,0.0,3.0,40.0,101.0,33.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196893.0,1200307.0,229118.0,150.0,101.0,0.0
0,1400.0,2811.0,173.0,141.0,38585.0,1207.0,43986.0,38566.0,243243.0,1200264.0,196770.0,69748.0,345722.0,18197.0,500000.0,885843.0,229118.0,148484.0,21327.0,187.0,2.0,0.0,0.0,27.0,7.0,0.0,1.0,0.0,19.0,0.0,0.0,1.0,252.0,1.0,5.0,57.0,143.0,43.0,0.0,4.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196770.0,1200264.0,229118.0,272.0,143.0,0.0
0,1600.0,2800.0,162.0,141.0,38566.0,1204.0,43950.0,38563.0,243240.0,1200166.0,196629.0,69608.0,345618.0,18105.0,500000.0,885843.0,229118.0,148484.0,21327.0,198.0,2.0,0.0,0.0,40.0,10.0,2.0,2.0,1.0,19.0,0.0,3.0,0.0,392.0,1.0,8.0,88.0,242.0,53.0,0.0,6.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196629.0,1200166.0,229118.0,412.0,242.0,0.0
0,1800.0,2795.0,157.0,141.0,38548.0,1194.0,43913.0,38559.0,243241.0,1200087.0,196459.0,69440.0,345489.0,17994.0,500000.0,885843.0,229118.0,148484.0,21327.0,202.0,3.0,0.0,0.0,52.0,20.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,560.0,3.0,12.0,129.0,321.0,70.0,0.0,5.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196459.0,1200087.0,229118.0,584.0,321.0,0.0
0,2000.0,2794.0,156.0,141.0,38516.0,1180.0,43864.0,38554.0,243239.0,1199979.0,196231.0,69222.0,345325.0,17837.0,500000.0,885843.0,229118.0,148484.0,21327.0,202.0,4.0,0.0,0.0,70.0,34.0,0.0,0.0,0.0,33.0,0.0,4.0,0.0,778.0,1.0,17.0,176.0,429.0,79.0,0.0,5.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196231.0,1199979.0,229118.0,812.0,429.0,0.0
0,2200.0,2785.0,147.0,141.0,38475.0,1170.0,43785.0,38551.0,243241.0,1199806.0,195911.0,68918.0,345112.0,17656.0,500000.0,885843.0,229118.0,148484.0,21327.0,211.0,4.0,0.0,0.0,97.0,44.0,2.0,2.0,2.0,45.0,0.0,2.0,0.0,1082.0,3.0,20.0,253.0,602.0,111.0,0.0,3.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195911.0,1199806.0,229118.0,1130.0,602.0,0.0
0,2400.0,2796.0,158.0,141.0,38441.0,1154.0,43690.0,38543.0,243240.0,1199582.0,195502.0,68513.0,344761.0,17374.0,500000.0,885843.0,229118.0,148484.0,21327.0,200.0,4.0,0.0,0.0,115.0,60.0,1.0,3.0,1.0,48.0,0.0,3.0,1.0,1487.0,3.0,28.0,348.0,825.0,166.0,0.0,16.0,949.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195502.0,1199582.0,229118.0,1538.0,825.0,0.0
